A2_EDAD_1,A3_SEXO_1,ZONA,COD_REGION,POND_USO,grupo_etario,zona_desc,sexo_desc
61.0,2.0,1.0,4.0,0.38569,60+,Urbana,Mujer
55.0,2.0,1.0,9.0,0.38174,45-59,Urbana,Mujer
12.0,1.0,1.0,16.0,0.39782,0-17,Urbana,Hombre
61.0,2.0,1.0,16.0,0.29381,60+,Urbana,Mujer
47.0,2.0,1.0,16.0,0.5533,45-59,Urbana,Mujer
75.0,2.0,1.0,5.0,0.90324,60+,Urbana,Mujer
40.0,1.0,1.0,6.0,0.65249,30-44,Urbana,Hombre
26.0,1.0,1.0,5.0,2.05299,18-29,Urbana,Hombre
75.0,1.0,1.0,6.0,0.748,60+,Urbana,Hombre
27.0,1.0,1.0,6.0,0.70566,18-29,Urbana,Hombre
40.0,1.0,1.0,11.0,0.37569,30-44,Urbana,Hombre
63.0,1.0,1.0,6.0,0.748,60+,Urbana,Hombre
36.0,1.0,1.0,5.0,1.32264,30-44,Urbana,Hombre
45.0,2.0,1.0,1.0,0.73745,45-59,Urbana,Mujer
70.0,1.0,1.0,5.0,1.40201,60+,Urbana,Hombre
76.0,2.0,1.0,4.0,0.38569,60+,Urbana,Mujer
67.0,2.0,1.0,5.0,0.90324,60+,Urbana,Mujer
33.0,1.0,1.0,1.0,0.79754,30-44,Urbana,Hombre
31.0,2.0,1.0,11.0,0.37569,30-44,Urbana,Mujer
59.0,2.0,1.0,9.0,0.38174,45-59,Urbana,Mujer
61.0,1.0,1.0,9.0,0.86765,60+,Urbana,Hombre
78.0,2.0,1.0,9.0,0.38174,60+,Urbana,Mujer
70.0,1.0,1.0,9.0,0.59253,60+,Urbana,Hombre
55.0,2.0,1.0,9.0,0.38174,45-59,Urbana,Mujer
50.0,2.0,1.0,1.0,0.73745,45-59,Urbana,Mujer
25.0,2.0,1.0,1.0,0.79754,18-29,Urbana,Mujer
56.0,1.0,1.0,15.0,0.71628,45-59,Urbana,Hombre
55.0,2.0,1.0,9.0,0.86765,45-59,Urbana,Mujer
32.0,2.0,1.0,9.0,0.55898,30-44,Urbana,Mujer
70.0,2.0,1.0,9.0,0.38174,60+,Urbana,Mujer
